Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Hassan Whiteside,1,90.42,Portland Trail Blazers,5143,14,2020,C,10,67,61,30.00,6.50,10.50,0.621,0.10,0.10,0.571,6.40,10.40,0.622,0.624,2.40,3.60,0.686,3.90,9.70,13.50,1.20,0.40,2.90,1.80,2.90,15.50,25.00,1.3032102702,-0.0804208394,2.6170973321,-0.2659277132,3.7129329198,0.5067090893,1.2923800273,1.1329839041,2.0612836753
2020,C,Rudy Gobert,2,84.13,Utah Jazz,1710,11,2020,C,13,68,68,34.30,5.70,8.20,0.693,0.00,0.00,,5.70,8.20,0.693,0.693,3.70,5.90,0.630,3.40,10.10,13.50,1.50,0.80,2.00,1.90,3.20,15.10,21.70,1.2343724418,0.1582299066,2.6170973321,0.9140004209,2.1436546417,1.11003828968,0.8143951843,1.2746068922,1.69252076446
2020,C,Andre Drummond,3,83.69,Detroit Pistons,1264,29,2020,C,14,49,48,33.80,7.30,13.90,0.530,0.00,0.40,0.048,7.30,13.40,0.546,0.531,3.00,5.20,0.584,4.60,11.20,15.80,2.80,2.00,1.70,3.60,3.60,17.80,22.10,1.6990277836,1.1923831396,3.3560553881,4.4537848234,1.6205618824,-0.30647374599,0.8723327411,3.6821976884,1.66648323986
2020,C,Karl-Anthony Towns,4,81.51,Minnesota Timberwolves,4827,2,2020,C,11,35,35,33.90,9.00,17.80,0.508,3.30,7.90,0.412,5.80,9.90,0.586,0.600,5.10,6.50,0.796,2.70,8.10,10.80,4.40,0.90,1.20,3.10,3.30,26.50,26.50,3.1962505518,2.4651871186,1.7496248316,1.2089824544,0.7487406168,0.29685545439,1.509645865,2.9740827484,1.53843942785
2020,C,Clint Capela,5,80.74,Houston Rockets,727,10,2020,C,12,39,39,32.80,6.30,9.90,0.629,0.00,0.00,,6.30,9.90,0.629,0.629,1.40,2.70,0.529,4.30,9.50,13.80,1.20,0.80,1.80,1.60,2.60,13.90,20.60,1.0278589565,-0.0804208394,2.7134831655,0.9140004209,1.7949261355,0.55042859657,0.6550669034,0.8497379281,1.49347736921
2020,C,Joel Embiid,6,79.27,Philadelphia 76ers,1378,21,2020,C,10,51,51,29.50,7.50,15.70,0.477,1.10,3.40,0.331,6.40,12.30,0.517,0.512,6.90,8.50,0.807,2.80,8.90,11.60,3.00,0.90,1.30,3.10,3.40,23.00,25.80,2.5939195531,1.3514836369,2.0066537207,1.2089824544,0.9231048699,-0.47260787363,1.4082551407,2.9740827484,1.40720448415
2020,C,Jusuf Nurkić,7,77.41,Portland Trail Blazers,3559,14,2020,C,12,8,8,31.60,6.80,13.60,0.495,0.30,1.30,0.200,6.50,12.40,0.525,0.505,3.90,4.40,0.886,2.90,7.40,10.30,4.00,1.40,2.00,2.40,4.90,17.60,22.60,1.6646088694,2.1469861238,1.588981776,2.6838926221,2.1436546417,-0.53381518381,0.944754687,1.9827218322,1.29858569109
2020,C,Kristaps Porziņģis,8,76.53,Dallas Mavericks,3857,4,2020,C,10,57,57,31.80,7.00,16.40,0.427,2.50,7.10,0.352,4.50,9.30,0.484,0.503,4.00,5.00,0.799,1.80,7.70,9.50,1.80,0.70,2.00,1.60,3.20,20.40,20.20,2.1464736684,0.3968806527,1.331952887,0.6190183874,2.1436546417,-0.55130298672,0.5971293466,0.8497379281,1.24652048329
2020,C,Deandre Ayton,9,75.78,Phoenix Suns,176,5,2020,C,8,38,32,32.50,8.20,14.90,0.546,0.10,0.30,0.231,8.10,14.60,0.553,0.548,1.80,2.30,0.753,3.90,7.60,11.50,1.90,0.70,1.50,2.10,3.10,18.20,20.00,1.767865612,0.4764309014,1.9745251095,0.6190183874,1.2718333762,-0.15782742126,0.5681605683,1.5578528682,1.20293195608
2020,C,Andre Drummond,10,75.21,Cleveland Cavaliers,1264,18,2020,C,14,8,8,28.10,7.30,13.10,0.552,0.50,1.80,0.286,6.80,11.40,0.593,0.571,2.50,4.90,0.513,3.00,8.10,11.10,1.80,1.50,1.40,3.60,3.10,17.50,21.10,1.6473994123,0.3968806527,1.846010665,2.9788746557,1.0974691231,0.0432823122,0.7274888493,3.6821976884,1.16949516776
