season,player_name,position,current_team,destination_team,current_standing,destination_standing,player_rating,destination_player_rating,team_improvement,player_gap,acceptance_score,recommendation_score
2025,A.J. Green,SG,Milwaukee Bucks,Oklahoma City Thunder,11,1,-0.014,1.265,1.406,1.279,0.825,1.174
2025,A.J. Green,SG,Milwaukee Bucks,Cleveland Cavaliers,11,2,-0.014,1.342,1.075,1.356,0.816,0.972
2025,A.J. Green,SG,Milwaukee Bucks,Boston Celtics,11,3,-0.014,0.808,0.977,0.822,0.884,0.94
2025,A.J. Green,SG,Milwaukee Bucks,Houston Rockets,11,4,-0.014,0.724,0.493,0.738,0.895,0.654
2025,A.J. Green,SG,Milwaukee Bucks,New York Knicks,11,5,-0.014,0.807,0.386,0.821,0.884,0.585
2025,A.J. Green,SG,Milwaukee Bucks,Indiana Pacers,11,6,-0.014,0.275,0.227,0.289,0.958,0.519
2025,A.J. Green,SG,Milwaukee Bucks,Los Angeles Clippers,11,9,-0.014,1.026,0.265,1.04,0.856,0.501
2025,A.J. Green,SG,Milwaukee Bucks,Denver Nuggets,11,8,-0.014,0.812,0.213,0.826,0.884,0.481
2025,A.J. Green,SG,Milwaukee Bucks,Minnesota Timberwolves,11,10,-0.014,1.353,0.206,1.367,0.815,0.449
2025,A.J. Green,SG,Milwaukee Bucks,Los Angeles Lakers,11,7,-0.014,1.047,0.135,1.061,0.853,0.422
2025,A.J. Green,SG,Milwaukee Bucks,Golden State Warriors,11,12,-0.014,0.448,0.013,0.462,0.933,0.381
2025,A.J. Green,SG,Milwaukee Bucks,Memphis Grizzlies,11,13,-0.014,0.996,0.028,1.009,0.859,0.361
2025,A.J. Lawson,SG,Toronto Raptors,Oklahoma City Thunder,24,1,0.025,1.265,2.681,1.24,0.83,1.941
2025,A.J. Lawson,SG,Toronto Raptors,Cleveland Cavaliers,24,2,0.025,1.342,2.35,1.317,0.821,1.738
2025,A.J. Lawson,SG,Toronto Raptors,Boston Celtics,24,3,0.025,0.808,2.251,0.783,0.889,1.706
2025,A.J. Lawson,SG,Toronto Raptors,Houston Rockets,24,4,0.025,0.724,1.768,0.699,0.9,1.421
2025,A.J. Lawson,SG,Toronto Raptors,New York Knicks,24,5,0.025,0.807,1.66,0.782,0.889,1.352
2025,A.J. Lawson,SG,Toronto Raptors,Indiana Pacers,24,6,0.025,0.275,1.501,0.25,0.963,1.286
2025,A.J. Lawson,SG,Toronto Raptors,Los Angeles Clippers,24,9,0.025,1.026,1.539,1.001,0.861,1.268
2025,A.J. Lawson,SG,Toronto Raptors,Denver Nuggets,24,8,0.025,0.812,1.487,0.787,0.889,1.248
2025,A.J. Lawson,SG,Toronto Raptors,Minnesota Timberwolves,24,10,0.025,1.353,1.48,1.328,0.819,1.216
2025,A.J. Lawson,SG,Toronto Raptors,Los Angeles Lakers,24,7,0.025,1.047,1.409,1.022,0.858,1.189
2025,A.J. Lawson,SG,Toronto Raptors,Golden State Warriors,24,12,0.025,0.448,1.287,0.423,0.939,1.148
2025,A.J. Lawson,SG,Toronto Raptors,Memphis Grizzlies,24,13,0.025,0.996,1.302,0.971,0.865,1.127
2025,A.J. Lawson,SG,Toronto Raptors,Milwaukee Bucks,24,11,0.025,0.683,1.274,0.658,0.906,1.127
2025,A.J. Lawson,SG,Toronto Raptors,Detroit Pistons,24,14,0.025,2.249,1.037,2.224,0.716,0.909
2025,A.J. Lawson,SG,Toronto Raptors,Orlando Magic,24,15,0.025,0.142,0.856,0.117,0.983,0.907
2025,A.J. Lawson,SG,Toronto Raptors,Sacramento Kings,24,17,0.025,0.908,0.73,0.883,0.876,0.788
2025,A.J. Lawson,SG,Toronto Raptors,Atlanta Hawks,24,16,0.025,1.001,0.698,0.976,0.864,0.764
2025,A.J. Lawson,SG,Toronto Raptors,Chicago Bulls,24,18,0.025,0.842,0.576,0.817,0.885,0.7
2025,A.J. Lawson,SG,Toronto Raptors,Miami Heat,24,20,0.025,1.223,0.572,1.198,0.835,0.678
2025,A.J. Lawson,SG,Toronto Raptors,Dallas Mavericks,24,19,0.025,1.335,0.547,1.31,0.822,0.657
2025,A.J. Lawson,SG,Toronto Raptors,Portland Trail Blazers,24,22,0.025,0.782,0.281,0.757,0.893,0.526
2025,A.J. Lawson,SG,Toronto Raptors,Phoenix Suns,24,21,0.025,1.298,0.277,1.273,0.826,0.497
2025,A.J. Lawson,SG,Toronto Raptors,San Antonio Spurs,24,23,0.025,0.668,0.184,0.643,0.908,0.473
2025,Aaron Gordon,PF,Denver Nuggets,Oklahoma City Thunder,8,1,0.4,0.795,1.194,0.395,0.942,1.093
2025,Aaron Gordon,PF,Denver Nuggets,Cleveland Cavaliers,8,2,0.4,1.717,0.863,1.317,0.821,0.846
2025,Aaron Gordon,PF,Denver Nuggets,Boston Celtics,8,3,0.4,1.509,0.764,1.109,0.847,0.797
2025,Aaron Gordon,PF,Denver Nuggets,Houston Rockets,8,4,0.4,0.863,0.28,0.463,0.933,0.541
2025,Aaron Gordon,PF,Denver Nuggets,New York Knicks,8,5,0.4,0.825,0.173,0.425,0.938,0.479
2025,Aaron Gordon,PF,Denver Nuggets,Los Angeles Clippers,8,9,0.4,-0.25,0.052,0,1,0.431
2025,Aaron Gordon,PF,Denver Nuggets,Indiana Pacers,8,6,0.4,0.96,0.014,0.56,0.919,0.376
2025,Aaron Holiday,PG,Houston Rockets,Oklahoma City Thunder,4,1,-0.358,1.646,0.913,2.004,0.74,0.844
2025,Aaron Holiday,PG,Houston Rockets,Cleveland Cavaliers,4,2,-0.358,0.908,0.582,1.266,0.827,0.68
2025,Aaron Holiday,PG,Houston Rockets,Boston Celtics,4,3,-0.358,0.432,0.484,0.789,0.888,0.646
2025,Aaron Nesmith,SF,Indiana Pacers,Oklahoma City Thunder,6,1,0.363,0.332,1.18,0,1,1.108
2025,Aaron Nesmith,SF,Indiana Pacers,Cleveland Cavaliers,6,2,0.363,0.475,0.849,0.112,0.983,0.902
2025,Aaron Nesmith,SF,Indiana Pacers,Boston Celtics,6,3,0.363,1.283,0.75,0.92,0.871,0.798
2025,Aaron Nesmith,SF,Indiana Pacers,Houston Rockets,6,4,0.363,1.573,0.266,1.21,0.834,0.493
2025,Aaron Nesmith,SF,Indiana Pacers,New York Knicks,6,5,0.363,0.764,0.159,0.401,0.942,0.472
2025,Aaron Nesmith,SF,Indiana Pacers,Los Angeles Clippers,6,9,0.363,1.392,0.038,1.029,0.857,0.365
2025,Adama Sanogo,C,Chicago Bulls,Oklahoma City Thunder,18,1,-0.876,1.018,2.105,1.893,0.753,1.564
2025,Adama Sanogo,C,Chicago Bulls,Cleveland Cavaliers,18,2,-0.876,0.96,1.774,1.835,0.759,1.368
2025,Adama Sanogo,C,Chicago Bulls,Boston Celtics,18,3,-0.876,0.929,1.675,1.805,0.763,1.31
2025,Adama Sanogo,C,Chicago Bulls,Houston Rockets,18,4,-0.876,0.807,1.191,1.683,0.777,1.026
2025,Adama Sanogo,C,Chicago Bulls,New York Knicks,18,5,-0.876,1.332,1.084,2.208,0.718,0.938
