ID,Name,From,To,Height,Weight,Birth Date,Age,Nationality,Position,Shoots,College,Experience,Draft Year,Draft Round,Draft Pick,Draft Team,URL
0,Alaa Abdelnaby,1990-91,1994-95,208.0,108.0,1968-06-24,58.0,Egypt,Power Forward,Right,Duke,5,1990.0,1.0,25.0,Portland Trail Blazers,a/abdelal01.html
1,Zaid Abdul-Aziz,1968-69,1977-78,206.0,106.0,1946-04-07,80.0,New York,Center and Power Forward,Right,Iowa State,10,1968.0,1.0,5.0,Cincinnati Royals,a/abdulza01.html
2,Kareem Abdul-Jabbar,1969-70,1988-89,218.0,102.0,1947-04-16,79.0,New York,Center,Right,UCLA,20,1969.0,1.0,1.0,Milwaukee Bucks,a/abdulka01.html
3,Mahmoud Abdul-Rauf,1990-91,2000-01,185.0,73.0,1969-03-09,57.0,Mississippi,Point Guard,Right,LSU,9,1990.0,1.0,3.0,Denver Nuggets,a/abdulma02.html
4,Tariq Abdul-Wahad,1997-98,2002-03,198.0,101.0,1974-11-03,51.0,France,Shooting Guard,Right,Michigan,6,1997.0,1.0,11.0,Sacramento Kings,a/abdulta01.html
5,Shareef Abdur-Rahim,1996-97,2007-08,206.0,102.0,1976-12-11,49.0,Georgia,"Power Forward, Small Forward, and Center",Right,California,12,1996.0,1.0,3.0,Vancouver Grizzlies,a/abdursh01.html
6,Tom Abernethy,1976-77,1980-81,201.0,99.0,1954-05-06,72.0,Indiana,Small Forward and Power Forward,Right,Indiana,5,1976.0,3.0,9.0,Los Angeles Lakers,a/abernto01.html
7,Forest Able,1956-57,1956-57,190.0,81.0,1932-07-27,93.0,Kentucky,Guard,Right,Western Kentucky,1,1956.0,3.0,5.0,Syracuse Nationals,a/ablefo01.html
9,Álex Abrines,2016-17,2018-19,198.0,90.0,1993-08-01,32.0,Spain,Shooting Guard,Right,,3,2013.0,2.0,2.0,Oklahoma City Thunder,a/abrinal01.html
10,Precious Achiuwa,2020-21,2025-26,203.0,110.0,1999-09-19,26.0,Nigeria,Center and Power Forward,Right,Memphis,6,2020.0,1.0,20.0,Miami Heat,a/achiupr01.html
11,Alex Acker,2005-06,2008-09,196.0,83.0,1983-01-21,43.0,California,Shooting Guard,Right,Pepperdine,2,2005.0,2.0,30.0,Detroit Pistons,a/ackeral01.html
12,Don Ackerman,1953-54,1953-54,183.0,83.0,1930-09-04,95.0,New York,Point Guard,Right,Long Island University,1,1953.0,2.0,2.0,New York Knicks,a/ackerdo01.html
13,Mark Acres,1987-88,1992-93,211.0,99.0,1962-11-15,63.0,California,Center,Right,Oral Roberts,6,1985.0,2.0,16.0,Dallas Mavericks,a/acresma01.html
14,Bud Acton,1967-68,1967-68,198.0,95.0,1942-01-11,84.0,United States,Small Forward,Right,Hillsdale College,1,,,,,a/actonbu01.html
15,Quincy Acy,2012-13,2018-19,201.0,108.0,1990-10-06,35.0,Texas,Power Forward and Small Forward,Right,Baylor,7,2012.0,2.0,7.0,Toronto Raptors,a/acyqu01.html
16,Alvan Adams,1975-76,1987-88,206.0,95.0,1954-07-19,71.0,Kansas,Center and Power Forward,Right,Oklahoma,13,1975.0,1.0,4.0,Phoenix Suns,a/adamsal01.html
17,Don Adams,1970-71,1976-77,198.0,95.0,1947-11-27,78.0,Georgia,Small Forward,Right,Northwestern,7,1970.0,8.0,1.0,San Diego Rockets,a/adamsdo01.html
19,Hassan Adams,2006-07,2008-09,193.0,99.0,1984-06-20,42.0,California,Shooting Guard,Right,Arizona,2,2006.0,2.0,24.0,New Jersey Nets,a/adamsha01.html
20,Jaylen Adams,2018-19,2020-21,183.0,102.0,1996-05-04,30.0,Maryland,Point Guard,Right,St. Bonaventure,2,,,,,a/adamsja01.html
21,Jordan Adams,2014-15,2015-16,196.0,94.0,1994-07-08,32.0,Georgia,Shooting Guard,Right,UCLA,2,2014.0,1.0,22.0,Memphis Grizzlies,a/adamsjo01.html
22,Michael Adams,1985-86,1995-96,178.0,73.0,1963-01-19,63.0,Connecticut,Point Guard,Right,Boston College,11,1985.0,3.0,19.0,Sacramento Kings,a/adamsmi01.html
23,Steven Adams,2013-14,2025-26,211.0,120.0,1993-07-20,32.0,New Zealand,Center,Right,Pitt,12,2013.0,1.0,12.0,Oklahoma City Thunder,a/adamsst01.html
24,Rafael Addison,1986-87,1996-97,201.0,97.0,1964-07-22,61.0,New Jersey,Small Forward,Right,Syracuse,6,1986.0,2.0,15.0,Phoenix Suns,a/addisra01.html
25,Bam Adebayo,2017-18,2025-26,206.0,115.0,1997-07-18,28.0,New Jersey,Center and Power Forward,Right,Kentucky,9,2017.0,1.0,14.0,Miami Heat,a/adebaba01.html
26,Deng Adel,2018-19,2018-19,201.0,90.0,1997-02-01,29.0,South Sudan,Small Forward,Right,Louisville,1,,,,,a/adelde01.html
27,Rick Adelman,1968-69,1974-75,185.0,79.0,1946-06-16,80.0,California,Point Guard,Right,Loyola Marymount,7,1968.0,7.0,1.0,San Diego Rockets,a/adelmri01.html
28,Jeff Adrien,2010-11,2014-15,201.0,111.0,1986-02-10,40.0,Massachusetts,Power Forward,Right,UConn,5,,,,,a/adrieje01.html
29,Arron Afflalo,2007-08,2017-18,196.0,95.0,1985-10-15,40.0,California,Shooting Guard and Small Forward,Right,UCLA,11,2007.0,1.0,27.0,Detroit Pistons,a/afflaar01.html
