ID,Season,Team Name,Arena,Games (G),Wins (W),Losses (L),Win/Loss Percentage (W/L%),Minutes Played (MP),Pace Factor (Pace),Relative Pace,Offensive Rating (ORtg),Relative Offensive Rating,Defensive Rating (DRtg),Relative Defensive Rating,Points Per Game (Pts/G),Opponent Points Per Game (Opp Pts/G),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),FT/FGA,Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Assists Per Game,Steals (STL),Steal Percentage (STL%),Steals Per Game,Blocks (BLK),Block Percentage (BLK%),Blocks Per Game,Turnovers (TOV),Turnover Percentage (TOV%),Turnovers Per Game,Personal Fouls (PF),Personal Fouls Per Game,Points (PTS),Points Per Game,Standing,Conference Standing,Playoff result,Conference Champion,Champion
0,2020,Milwaukee Bucks,Fiserv Forum,73,56,17,0.767,17595,105.1,4.8,112.4,1.8,102.9,-7.7,118.7,108.6,3160,6638,0.476,1007,2840,0.355,2153,3798,0.567,0.552,1336,1800,0.742,0.201,691,20.7,3083,81.6,3774,51.7,,1889,,25.9,526,,7.2,429,,5.9,1102,,15.1,1431,19.6,8663,118.7,1,1,Eastern Conference Semifinals,0,0
1,2020,Toronto Raptors,Scotiabank Arena,72,53,19,0.736,17380,100.9,0.6,111.1,0.5,105.0,-5.6,112.8,106.5,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,0.536,1329,1670,0.796,0.21,685,21.3,2583,76.7,3268,45.4,,1816,,25.2,636,,8.8,358,,5.0,1067,,14.8,1559,21.7,8118,112.8,2,2,Eastern Conference Semifinals,0,0
2,2020,Boston Celtics,TD Garden,72,48,24,0.667,17430,99.5,-0.8,113.3,2.7,107.0,-3.6,113.7,107.3,2971,6448,0.461,905,2487,0.364,2066,3961,0.522,0.531,1336,1668,0.801,0.207,768,23.9,2549,77.4,3317,46.1,,1655,,23.0,595,,8.3,406,,5.6,995,,13.8,1553,21.6,8183,113.7,5,3,Eastern Conference Finals,0,0
3,2020,Indiana Pacers,Bankers Life Fieldhouse,73,45,28,0.616,17620,98.9,-1.4,110.0,-0.6,108.0,-2.6,109.4,107.5,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,0.534,1096,1393,0.787,0.17,636,20.0,2489,76.7,3125,42.8,,1888,,25.9,543,,7.4,376,,5.2,967,,13.2,1445,19.8,7989,109.4,7,4,Eastern Conference First Round,0,0
4,2020,Miami Heat,AmericanAirlines Arena,73,44,29,0.603,17745,98.3,-2.0,112.5,1.9,109.5,-1.1,112.0,109.1,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,0.547,1440,1840,0.783,0.234,620,20.3,2619,79.5,3239,44.4,,1892,,25.9,547,,7.5,332,,4.5,1088,,14.9,1501,20.6,8179,112.0,11,5,Finals,1,0
5,2020,Philadelphia 76ers,Wells Fargo Center,73,43,30,0.589,17595,99.0,-1.3,111.3,0.7,109.0,-1.6,110.7,108.4,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,0.534,1236,1638,0.755,0.193,764,23.9,2553,80.3,3317,45.4,,1884,,25.8,586,,8.0,389,,5.3,1037,,14.2,1529,20.9,8084,110.7,12,6,Eastern Conference First Round,0,0
6,2020,Brooklyn Nets,Barclays Center,72,35,37,0.486,17480,101.4,1.1,108.9,-1.7,109.5,-1.1,111.8,112.3,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,0.52,1291,1732,0.745,0.199,766,23.2,2683,77.8,3449,47.9,,1761,,24.5,464,,6.4,323,,4.5,1099,,15.3,1510,21.0,8048,111.8,14,7,Eastern Conference First Round,0,0
7,2020,Orlando Magic,Amway Center,73,33,40,0.452,17570,98.6,-1.7,108.5,-2.1,109.5,-1.1,107.3,108.3,2871,6468,0.444,807,2354,0.343,2064,4114,0.502,0.506,1282,1656,0.774,0.198,751,22.3,2498,79.1,3249,44.5,,1747,,23.9,599,,8.2,396,,5.4,937,,12.8,1336,18.3,7831,107.3,18,8,Eastern Conference First Round,0,0
8,2020,Charlotte Hornets,Spectrum Center,65,23,42,0.354,15750,95.8,-4.5,106.3,-4.3,113.3,2.7,102.9,109.6,2425,5586,0.434,785,2231,0.352,1640,3355,0.489,0.504,1052,1406,0.748,0.188,715,23.9,2066,74.4,2781,42.8,,1549,,23.8,428,,6.6,268,,4.1,949,,14.6,1223,18.8,6687,102.9,22,9,Not Qualified,0,0
9,2020,Washington Wizards,Capital One Arena,72,25,47,0.347,17355,102.7,2.4,110.9,0.3,115.5,4.9,114.4,119.1,2990,6544,0.457,864,2345,0.368,2126,4199,0.506,0.523,1394,1770,0.788,0.213,732,22.2,2295,75.3,3027,42.0,,1801,,25.0,574,,8.0,309,,4.3,1020,,14.2,1634,22.7,8238,114.4,23,10,Not Qualified,0,0
