ID,Season,Player Name,Team,Position,Games Played (G),Games Started (GS),Minutes Played (MP),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Steals (STL),Steal Percentage (STL%),Blocks (BLK),Block Percentage (BLK%),Personal Fouls (PF),Points (PTS),Turnovers (TOV),Turnover Percentage (TOV%),Player Efficiency Rating (PER)
0,2020,James Harden,HOU,SG,68,68,36.5,9.9,22.3,.444,4.4,12.4,.355,5.5,9.9,.556,.543,10.2,11.8,.865,1.0,2.9,5.5,16.0,6.6,6.6,9.4,7.5,35.9,1.8,2.3,0.9,2.1,3.3,34.3,4.5,14.2,29.1
1,2020,Bradley Beal,WAS,SG,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,2.7,3.3,10.5,4.2,4.2,6.4,6.1,29.5,1.2,1.6,0.4,1.0,2.2,30.5,3.4,11.4,23.2
2,2020,Damian Lillard,POR,PG,66,66,37.5,9.5,20.4,.463,4.1,10.2,.401,5.4,10.2,.524,.563,7.0,7.8,.888,0.5,1.4,3.8,10.5,4.3,4.3,6.0,8.0,34.4,1.1,1.3,0.3,0.8,1.7,30.0,2.9,11.0,26.9
3,2020,Trae Young,ATL,PG,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,1.6,3.7,11.5,4.3,4.3,6.5,9.3,45.6,1.1,1.4,0.1,0.3,1.7,29.6,4.8,16.2,23.9
4,2020,Giannis Antetokounmpo,MIL,PF,63,63,30.4,10.9,19.7,.553,1.4,4.7,.304,9.5,15.0,.631,.589,6.3,10.0,.633,2.2,7.7,11.4,34.8,13.6,13.6,22.1,5.6,34.2,1.0,1.5,1.0,3.0,3.1,29.5,3.7,13.2,31.9
5,2020,Luka Dončić,DAL,PG,61,61,33.6,9.5,20.6,.463,2.8,8.9,.316,6.7,11.7,.574,.531,7.0,9.2,.758,1.3,4.1,8.1,25.0,9.4,9.4,14.7,8.8,45.7,1.0,1.5,0.2,0.6,2.5,28.8,4.3,14.8,27.6
6,2020,Kyrie Irving,BRK,PG,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,3.5,4.1,12.5,5.2,5.2,8.1,6.4,36.7,1.4,1.9,0.5,1.3,2.7,27.4,2.6,10.1,26.2
7,2020,Russell Westbrook,HOU,PG,57,57,35.9,10.6,22.5,.472,1.0,3.7,.258,9.6,18.7,.514,.493,5.1,6.7,.763,1.8,5.1,6.2,18.1,7.9,7.9,11.5,7.0,35.6,1.6,2.1,0.4,0.8,3.5,27.2,4.5,15.0,21.0
8,2020,Kawhi Leonard,LAC,SF,57,57,32.4,9.3,19.9,.470,2.2,5.7,.378,7.2,14.2,.506,.524,6.2,7.1,.886,0.9,3.1,6.1,19.1,7.1,7.1,11.3,4.9,26.4,1.8,2.6,0.6,1.6,2.0,27.1,2.6,10.2,26.9
9,2020,Devin Booker,PHO,SG,70,70,35.9,9.0,18.3,.489,2.0,5.7,.354,6.9,12.6,.549,.544,6.7,7.3,.919,0.4,1.3,3.8,12.0,4.2,4.2,6.6,6.5,30.0,0.7,0.9,0.3,0.6,3.0,26.6,3.8,14.9,20.6
