ID,Name,Franchise,From,To,Years (Yrs),Playoff Appearances (Plyfs),Championships,Conference,Division
0,Oklahoma City Thunder,Oklahoma City Thunder,1968,2026,59,35,2.0,Western Conference,Northwest Division
1,Denver Nuggets,Denver Nuggets,1968,2026,50,32,1.0,Western Conference,Northwest Division
2,Minnesota Timberwolves,Minnesota Timberwolves,1990,2026,37,14,0.0,Western Conference,Northwest Division
3,Los Angeles Clippers,Los Angeles Clippers,1971,2026,56,19,0.0,Western Conference,Pacific Division
4,Dallas Mavericks,Dallas Mavericks,1981,2026,46,25,1.0,Western Conference,Southwest Division
5,Phoenix Suns,Phoenix Suns,1969,2026,58,34,0.0,Western Conference,Pacific Division
6,New Orleans Pelicans,New Orleans Pelicans,2003,2026,24,9,0.0,Western Conference,Southwest Division
7,Los Angeles Lakers,Los Angeles Lakers,1949,2026,78,66,17.0,Western Conference,Pacific Division
8,Sacramento Kings,Sacramento Kings,1949,2026,78,30,1.0,Western Conference,Pacific Division
9,Golden State Warriors,Golden State Warriors,1947,2026,80,38,7.0,Western Conference,Pacific Division
10,Houston Rockets,Houston Rockets,1968,2026,59,36,2.0,Western Conference,Southwest Division
11,Utah Jazz,Utah Jazz,1975,2026,52,31,0.0,Western Conference,Northwest Division
12,Memphis Grizzlies,Memphis Grizzlies,1996,2026,31,14,0.0,Western Conference,Southwest Division
13,San Antonio Spurs,San Antonio Spurs,1968,2026,50,40,5.0,Western Conference,Southwest Division
14,Portland Trail Blazers,Portland Trail Blazers,1971,2026,56,38,1.0,Western Conference,Northwest Division
15,Boston Celtics,Boston Celtics,1947,2026,80,63,18.0,Eastern Conference,Atlantic Division
16,New York Knicks,New York Knicks,1947,2026,80,47,3.0,Eastern Conference,Atlantic Division
17,Milwaukee Bucks,Milwaukee Bucks,1969,2026,58,37,2.0,Eastern Conference,Central Division
18,Cleveland Cavaliers,Cleveland Cavaliers,1971,2026,56,26,1.0,Eastern Conference,Central Division
19,Orlando Magic,Orlando Magic,1990,2026,37,19,0.0,Eastern Conference,Southeast Division
20,Indiana Pacers,Indiana Pacers,1968,2026,50,29,0.0,Eastern Conference,Central Division
21,Philadelphia 76ers,Philadelphia 76ers,1950,2026,77,55,3.0,Eastern Conference,Atlantic Division
22,Miami Heat,Miami Heat,1989,2026,38,26,3.0,Eastern Conference,Southeast Division
23,Chicago Bulls,Chicago Bulls,1967,2026,60,36,6.0,Eastern Conference,Central Division
24,Atlanta Hawks,Atlanta Hawks,1950,2026,77,50,1.0,Eastern Conference,Southeast Division
25,Brooklyn Nets,Brooklyn Nets,1968,2026,50,24,0.0,Eastern Conference,Atlantic Division
26,Toronto Raptors,Toronto Raptors,1996,2026,31,14,1.0,Eastern Conference,Atlantic Division
27,Charlotte Hornets,Charlotte Hornets,1989,2026,36,10,0.0,Eastern Conference,Southeast Division
28,Washington Wizards,Washington Wizards,1962,2026,65,30,1.0,Eastern Conference,Southeast Division
29,Detroit Pistons,Detroit Pistons,1949,2026,78,44,3.0,Eastern Conference,Central Division
