TeamName,PrevSeason,CurrSeason,Standing_Previous,Standing_Current,Improvement,Category,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G,team_id,season,games,wins,losses,W/L%,standing,conference_standing,playoff_result,conference_champion,champion,MP,pace,relative_pace,ORtg,relative_ORtg,DRtg,relative_DRtg,Pts/G,Opp Pts/G,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,eFG%,ft,fta,ft%,ft/fga,orb,orb%,drb,drb%,trb,trb/G,ast,ast/G,stl,stl/G,blk,blk/G,tov,tov/G,fouls,fouls/G
Golden State Warriors,2020,2021,30,14,16,High Progress,9,2021,72,39,33,0.542,14,8,Not Qualified,0,0,17305,102.2,3,111.1,-1.2,110.1,-2.2,114,112.7,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,0.551,1193,1520,0.785,0.188,574,17.9,2524,76.6,3098,43,1991,27.7,587,8.2,342,4.8,1080,15,1526,21.2,9,2020,65,15,50,0.231,30,15,Not Qualified,0,0,15725,100.3,0,105.2,-5.4,113.8,3.2,106,115,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,0.497,1214,1511,0.803,0.212,647,21.5,2138,76.4,2785,42.8,1663,25.6,534,8.2,299,4.6,969,14.9,1304,20.1
Atlanta Hawks,2020,2021,27,12,15,High Progress,24,2021,72,41,31,0.569,12,5,Eastern Conference Finals,0,0,17405,97.6,-1.6,115.7,3.4,113.3,1,114,111.4,2937,6281,0.468,895,2402,0.373,2042,3879,0.526,0.539,1417,1745,0.812,0.226,760,24.4,2525,77.8,3285,45.6,1737,24.1,503,7,342,4.8,953,13.2,1392,19.3,24,2020,67,20,47,0.299,27,14,Not Qualified,0,0,16280,103,2.7,107.2,-3.4,114.8,4.2,112,119.7,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,0.515,1237,1566,0.79,0.204,661,21.6,2237,74.9,2898,43.3,1605,24,523,7.8,341,5.1,1086,16.2,1548,23.1
Phoenix Suns,2020,2021,17,2,15,High Progress,5,2021,72,51,21,0.708,2,2,Finals,1,0,17480,97.2,-2,117.2,4.9,111.3,-1,115,109.5,3118,6357,0.49,940,2490,0.378,2178,3867,0.563,0.564,1124,1347,0.834,0.177,630,20.8,2462,78.5,3092,42.9,1939,26.9,517,7.2,312,4.3,902,12.5,1374,19.1,5,2020,73,34,39,0.466,17,10,Not Qualified,0,0,17595,101.3,1,111.7,1.1,111.4,0.8,114,113.4,3006,6429,0.468,831,2320,0.358,2175,4109,0.529,0.532,1451,1740,0.834,0.226,712,22.2,2465,78.8,3177,43.5,1987,27.2,559,7.7,290,4,1077,14.8,1609,22
New York Knicks,2020,2021,25,11,14,High Progress,16,2021,72,41,31,0.569,11,4,Eastern Conference First Round,0,0,17430,95.9,-3.3,110.6,-1.7,108.2,-4.1,107,104.7,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,0.524,1181,1506,0.784,0.19,696,21.9,2554,78.6,3250,45.1,1541,21.4,507,7,365,5.1,932,12.9,1473,20.5,16,2020,66,21,45,0.318,25,12,Not Qualified,0,0,15965,98.6,-1.7,106.5,-4.1,113,2.4,106,112.3,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,0.501,1076,1550,0.694,0.182,795,25.8,2274,78.3,3069,46.5,1456,22.1,504,7.6,313,4.7,946,14.3,1464,22.2
Brooklyn Nets,2020,2021,14,4,10,High Progress,25,2021,72,48,24,0.667,4,2,Eastern Conference Semifinals,0,0,17405,99.5,0.3,118.3,6,113.8,1.5,119,114.1,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,0.575,1305,1623,0.804,0.208,640,21.4,2559,77.3,3199,44.4,1929,26.8,484,6.7,379,5.3,975,13.5,1371,19,25,2020,72,35,37,0.486,14,7,Eastern Conference First Round,0,0,17480,101.4,1.1,108.9,-1.7,109.5,-1.1,112,112.3,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,0.52,1291,1732,0.745,0.199,766,23.2,2683,77.8,3449,47.9,1761,24.5,464,6.4,323,4.5,1099,15.3,1510,21
Utah Jazz,2020,2021,10,1,9,High Progress,11,2021,72,52,20,0.722,1,1,Western Conference Semifinals,0,0,17355,98.5,-0.7,117.6,5.3,108.3,-4,116,107.2,2971,6344,0.468,1205,3098,0.389,1766,3246,0.544,0.563,1235,1546,0.799,0.195,765,24.5,2709,79.3,3474,48.3,1703,23.7,474,6.6,371,5.2,1023,14.2,1335,18.5,11,2020,72,44,28,0.611,10,6,Western Conference First Round,0,0,17355,98.6,-1.7,112.3,1.7,109.9,-0.7,111,108.8,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,0.549,1278,1641,0.779,0.208,656,21.6,2577,78.9,3233,44.9,1615,22.4,438,6.1,292,4.1,1089,15.1,1468,20.4
Philadelphia 76ers,2020,2021,12,3,9,High Progress,21,2021,72,49,23,0.681,3,1,Eastern Conference Semifinals,0,0,17430,99.5,0.3,113.2,0.9,107.6,-4.7,114,108.1,2981,6257,0.476,811,2169,0.374,2170,4088,0.531,0.541,1409,1836,0.767,0.225,722,23.2,2522,78.2,3244,45.1,1706,23.7,655,9.1,447,6.2,1040,14.4,1456,20.2,21,2020,73,43,30,0.589,12,6,Eastern Conference First Round,0,0,17595,99,-1.3,111.3,0.7,109,-1.6,111,108.4,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,0.534,1236,1638,0.755,0.193,764,23.9,2553,80.3,3317,45.4,1884,25.8,586,8,389,5.3,1037,14.2,1529,20.9
Washington Wizards,2020,2021,23,17,6,High Progress,28,2021,72,34,38,0.472,17,8,Eastern Conference First Round,0,0,17405,104.1,4.9,111.2,-1.1,113,0.7,117,118.5,3108,6547,0.475,733,2088,0.351,2375,4459,0.533,0.531,1449,1884,0.769,0.221,697,21.3,2557,77.6,3254,45.2,1835,25.5,528,7.3,297,4.1,1037,14.4,1555,21.6,28,2020,72,25,47,0.347,23,10,Not Qualified,0,0,17355,102.7,2.4,110.9,0.3,115.5,4.9,114,119.1,2990,6544,0.457,864,2345,0.368,2126,4199,0.506,0.523,1394,1770,0.788,0.213,732,22.2,2295,75.3,3027,42,1801,25,574,8,309,4.3,1020,14.2,1634,22.7
Portland Trail Blazers,2020,2021,15,9,6,High Progress,14,2021,72,42,30,0.583,9,6,Western Conference First Round,0,0,17305,98.4,-0.8,117.8,5.5,116,3.7,116,114.3,2973,6558,0.453,1132,2939,0.385,1841,3619,0.509,0.54,1282,1558,0.823,0.195,766,23,2441,77.5,3207,44.5,1531,21.3,496,6.9,363,5,799,11.1,1362,18.9,14,2020,74,35,39,0.473,15,8,Western Conference First Round,0,0,17835,100.7,0.4,113.7,3.1,114.8,4.2,115,116.1,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,0.533,1312,1632,0.804,0.194,754,22.4,2599,75.3,3353,45.3,1525,20.6,465,6.3,451,6.1,946,12.8,1606,21.7
Dallas Mavericks,2020,2021,13,8,5,High Progress,4,2021,72,42,30,0.583,8,5,Western Conference First Round,0,0,17305,97.3,-1.9,115.4,3.1,113,0.7,112,110.2,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,0.55,1186,1524,0.778,0.189,657,21.1,2463,77.8,3120,43.3,1647,22.9,450,6.3,311,4.3,869,12.1,1396,19.4,4,2020,75,43,32,0.573,13,7,Western Conference First Round,0,0,18175,99.3,-1,116.7,6.1,111.7,1.1,117,112.1,3124,6772,0.461,1136,3095,0.367,1988,3677,0.541,0.545,1392,1787,0.779,0.206,791,23.2,2729,77.7,3520,46.9,1849,24.7,460,6.1,363,4.8,953,12.7,1462,19.5
