Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Hassan Whiteside,1,90.09,Portland Trail Blazers,5143,14,2020,C,10,67,61,30.00,6.50,10.50,0.621,0.10,0.10,0.571,6.40,10.40,0.622,0.624,2.40,3.60,0.686,3.90,9.70,13.50,1.20,0.40,2.90,1.80,2.90,15.50,25.00,1.4664035213,0.0023833811,2.6380791859,-0.2933182152,3.6131495613,0.58772151107,1.5887365254,1.1627892238,2.1447744423
2020,C,Rudy Gobert,2,82.9,Utah Jazz,1710,11,2020,C,13,68,68,34.30,5.70,8.20,0.693,0.00,0.00,,5.70,8.20,0.693,0.693,3.70,5.90,0.630,3.40,10.10,13.50,1.50,0.80,2.00,1.90,3.20,15.10,21.70,1.3903215704,0.3003060232,2.6380791859,0.8262169572,2.0711187356,1.25783713756,0.9884307484,1.3109529883,1.76558794181
2020,C,Andre Drummond,3,82.26,Detroit Pistons,1264,29,2020,C,14,49,48,33.80,7.30,13.90,0.530,0.00,0.40,0.048,7.30,13.40,0.546,0.531,3.00,5.20,0.584,4.60,11.20,15.80,2.80,2.00,1.70,3.60,3.60,17.80,22.10,1.9038747389,1.5913041387,3.3778838738,4.1848224742,1.5571084604,-0.31547781158,1.0611950851,3.8297369847,1.73158324486
2020,C,Karl-Anthony Towns,4,81.22,Minnesota Timberwolves,4827,2,2020,C,11,35,35,33.90,9.00,17.80,0.508,3.30,7.90,0.412,5.80,9.90,0.586,0.600,5.10,6.50,0.796,2.70,8.10,10.80,4.40,0.90,1.20,3.10,3.30,26.50,26.50,3.5586571706,3.1802248962,1.7696128133,1.1061007503,0.7004246684,0.3546378149,1.8616027877,3.0889181622,1.67672090083
2020,C,Clint Capela,5,78.76,Houston Rockets,727,10,2020,C,12,39,39,32.80,6.30,9.90,0.629,0.00,0.00,,6.30,9.90,0.629,0.629,1.40,2.70,0.529,4.30,9.50,13.80,1.20,0.80,1.80,1.60,2.60,13.90,20.60,1.1620757178,0.0023833811,2.7345754496,0.8262169572,1.7284452188,0.63628061444,0.7883288228,0.8664616948,1.54716624481
2020,C,Joel Embiid,6,78.18,Philadelphia 76ers,1378,21,2020,C,10,51,51,29.50,7.50,15.70,0.477,1.10,3.40,0.331,6.40,12.30,0.517,0.512,6.90,8.50,0.807,2.80,8.90,11.60,3.00,0.90,1.30,3.10,3.40,23.00,25.80,2.8929401004,1.7899192333,2.026936183,1.1061007503,0.8717614268,-0.50000240438,1.7342651987,3.0889181622,1.51637284264
2020,C,Jusuf Nurkić,7,75.23,Portland Trail Blazers,3559,14,2020,C,12,8,8,31.60,6.80,13.60,0.495,0.30,1.30,0.200,6.50,12.40,0.525,0.505,3.90,4.40,0.886,2.90,7.40,10.30,4.00,1.40,2.00,2.40,4.90,17.60,22.60,1.8658337634,2.7829947068,1.6087857072,2.5055197157,2.0711187356,-0.5679851491,1.1521505058,2.0517718108,1.36069266342
2020,C,Kristaps Porziņģis,8,74.07,Dallas Mavericks,3857,4,2020,C,10,57,57,31.80,7.00,16.40,0.427,2.50,7.10,0.352,4.50,9.30,0.484,0.503,4.00,5.00,0.799,1.80,7.70,9.50,1.80,0.70,2.00,1.60,3.20,20.40,20.20,2.3984074196,0.5982286652,1.3514623376,0.5463331641,2.0711187356,-0.58740879045,0.7155644862,0.8664616948,1.2996153317
2020,C,Deandre Ayton,9,73.26,Phoenix Suns,176,5,2020,C,8,38,32,32.50,8.20,14.90,0.546,0.10,0.30,0.231,8.10,14.60,0.553,0.548,1.80,2.30,0.753,3.90,7.60,11.50,1.90,0.70,1.50,2.10,3.10,18.20,20.00,1.9799566898,0.6975362125,1.9947707617,0.5463331641,1.2144349436,-0.15037686013,0.6791823179,1.6072805173,1.25699199296
2020,C,Andre Drummond,10,72.81,Cleveland Cavaliers,1264,18,2020,C,14,8,8,28.10,7.30,13.10,0.552,0.50,1.80,0.286,6.80,11.40,0.593,0.571,2.50,4.90,0.513,3.00,8.10,11.10,1.80,1.50,1.40,3.60,3.10,17.50,21.10,1.8468132757,0.5982286652,1.8661090769,2.7854035088,1.0430981852,0.07299501537,0.8792842435,3.8297369847,1.23317250122
